City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,Landfill Location (Lat),Landfill Location (Long),Landfill Capacity (Tons),Year
Chennai,E-Waste,35.5,78.74,24361.46,10,Composting,1983.84,8,West Side Facility,13.19587,80.639501,334331.77,2023
Visakhapatnam,Construction,19.38,71.46,11417.17,8,Composting,2648.76,12,East Zone Dump,23.3395,72.480193,170118.82,2021
Pune,Plastic,7.09,18.13,18876.77,5,Recycling,1930.82,3,West Side Facility,19.006176,73.252709,157713.53,2022
Surat,Organic,4.45,17.73,3269.35,1,Incineration,2822.41,4,Central Landfill,22.86352,73.033265,278229.14,2021
Pune,Organic,7.06,29.31,2542.07,1,Composting,2430.07,0,South City Dump,19.215386,72.506736,220855.05,2022
Visakhapatnam,E-Waste,10.81,28.98,7592.92,1,Composting,4293.43,0,Central Landfill,22.964349,72.842092,139366.29,2019
Hyderabad,Organic,1.0,44.75,1129.57,8,Incineration,1992.32,7,North Point Landfill,17.623151,78.175839,291010.96,2020
Mumbai,E-Waste,11.27,65.53,6165.85,9,Recycling,1850.94,7,North Point Landfill,19.560915,72.453694,342606.23,2022
Surat,E-Waste,3.12,74.85,5225.98,10,Landfill,2345.67,10,West Side Facility,23.002635,72.444607,251691.27,2021
Kanpur,Organic,15.77,10.8,14899.12,2,Landfill,2383.48,1,Central Landfill,23.205934,72.755277,255901.72,2022
Jaipur,Organic,24.4,58.81,19670.67,7,Incineration,1506.78,3,North Point Landfill,22.70567,72.660686,284396.9,2019
Jaipur,E-Waste,17.63,20.52,18734.28,3,Recycling,4461.33,3,South City Dump,22.59368,72.16092,222551.35,2020
Kolkata,Construction,1.0,19.75,9539.04,1,Composting,3764.64,0,East Zone Dump,22.15851,88.578019,106154.8,2023
Kanpur,Construction,26.88,71.32,17561.81,10,Composting,1401.42,7,Metro Waste Site,22.95416,72.888965,423045.5,2023
Pune,Organic,14.58,31.87,13490.95,3,Landfill,2131.2,1,Metro Waste Site,19.220757,72.717361,356894.44,2023
Thane,Hazardous,8.67,47.68,14378.19,7,Incineration,4587.76,9,Metro Waste Site,19.477447,72.935129,435553.31,2019
Chennai,Plastic,27.59,25.31,21026.3,3,Recycling,2727.54,3,South City Dump,13.454252,80.21744,178053.59,2023
Patna,Organic,13.73,24.1,4317.89,3,Incineration,2430.31,2,East Zone Dump,22.859348,72.640882,431945.62,2023
Thane,Plastic,5.96,52.09,2880.12,7,Recycling,1763.8,9,Metro Waste Site,18.800369,72.871549,481184.99,2023
Bhopal,Plastic,28.87,20.44,19471.41,2,Composting,2552.65,3,South City Dump,23.135184,72.656775,278331.89,2019
Thane,Organic,12.19,48.82,16371.6,7,Composting,1669.57,6,South City Dump,19.450897,73.149483,214774.67,2022
Delhi,Hazardous,18.18,37.56,18961.75,6,Incineration,4850.28,7,North Point Landfill,28.834951,76.952085,153409.01,2019
Nagpur,E-Waste,18.23,55.56,10422.11,8,Recycling,2596.69,13,Central Landfill,23.01173,72.454337,118820.27,2023
Bangalore,Plastic,14.88,17.72,20791.03,1,Incineration,3081.62,0,North Point Landfill,13.051829,77.998635,166888.77,2019
Patna,Plastic,23.08,49.16,17086.1,6,Composting,1698.93,4,Central Landfill,23.44878,73.033031,102850.17,2019
Jaipur,Construction,34.08,63.54,17233.35,9,Recycling,1474.43,8,East Zone Dump,22.651247,72.628407,448046.61,2022
Kanpur,Construction,22.84,74.27,24384.39,9,Composting,1292.78,6,North Point Landfill,23.334817,72.823809,379123.34,2022
Bangalore,Hazardous,27.17,49.45,18191.81,9,Incineration,2327.75,13,East Zone Dump,12.525035,78.03215,269639.06,2019
Hyderabad,Hazardous,25.39,38.82,15757.67,8,Recycling,3340.52,11,North Point Landfill,17.596266,78.086685,26437.48,2020
Mumbai,Plastic,8.57,52.62,14449.57,8,Composting,1766.39,4,West Side Facility,19.530132,72.600955,461930.81,2023
Indore,Hazardous,15.61,23.01,11221.44,3,Recycling,5738.64,3,North Point Landfill,22.52329,72.88154,52911.54,2020
Thane,E-Waste,23.5,55.35,16212.4,5,Incineration,3352.44,4,East Zone Dump,18.589733,73.299119,73025.79,2020
Chennai,Plastic,10.06,37.96,11698.69,4,Composting,1948.91,5,Metro Waste Site,12.974237,80.484022,333117.39,2023
Mumbai,Organic,18.57,43.18,15992.82,6,Landfill,1498.85,3,East Zone Dump,19.379305,73.274998,263926.97,2019
Delhi,Construction,15.3,64.73,11932.04,8,Landfill,1508.57,10,South City Dump,29.059923,77.283417,101423.46,2020
Delhi,Construction,2.73,76.76,7464.63,8,Recycling,2186.19,9,North Point Landfill,28.835134,77.555737,275083.26,2023
Pune,Plastic,21.5,46.56,18166.41,6,Incineration,1931.52,4,East Zone Dump,19.45256,72.535986,233273.8,2020
Lucknow,Hazardous,11.49,8.38,15536.78,1,Incineration,7117.5,1,South City Dump,23.388927,72.104723,457265.82,2020
Jaipur,Organic,1.94,71.53,3840.69,10,Recycling,500.0,9,Metro Waste Site,22.753849,72.207771,106377.39,2022
Jaipur,E-Waste,1.0,87.78,2327.98,10,Recycling,1634.32,9,Central Landfill,23.361708,72.103394,470688.12,2022
Patna,Construction,35.01,18.56,22409.78,2,Incineration,3277.29,2,Central Landfill,22.616322,72.583984,286455.45,2022
Visakhapatnam,E-Waste,2.46,28.59,12859.78,3,Composting,4323.67,6,Metro Waste Site,23.407427,72.64842,118362.33,2022
Kolkata,E-Waste,8.85,18.3,7458.87,1,Recycling,5425.33,2,North Point Landfill,22.610094,87.9132,11150.26,2023
Bhopal,Organic,3.61,62.2,6875.2,10,Incineration,744.17,13,East Zone Dump,22.859702,72.333909,69725.71,2020
Thane,Plastic,27.07,51.39,13234.17,6,Composting,2051.42,8,South City Dump,18.654981,73.070997,394514.47,2022
Patna,Hazardous,40.31,24.29,20834.89,2,Composting,6766.57,2,East Zone Dump,22.781715,72.090328,27587.45,2020
Surat,Organic,51.25,33.72,22956.59,1,Landfill,3105.68,0,West Side Facility,22.733507,72.759693,117664.15,2022
Kanpur,Plastic,8.86,71.58,11528.12,10,Recycling,1123.61,15,South City Dump,23.082355,73.032518,317424.31,2019
Surat,Construction,9.46,64.76,7229.21,7,Landfill,2418.31,7,Metro Waste Site,23.361908,72.519571,321979.53,2019
Pune,Hazardous,11.68,27.74,6309.71,6,Recycling,4236.33,6,Metro Waste Site,19.352557,73.199349,39145.28,2022
Pune,E-Waste,16.94,30.72,15661.78,3,Landfill,4345.23,5,West Side Facility,18.616978,73.082763,230983.39,2020
Pune,Plastic,1.61,35.63,3418.07,3,Composting,2554.44,3,Metro Waste Site,19.218774,72.705471,431436.02,2020
Pune,Construction,8.87,26.78,3943.07,4,Incineration,2789.42,7,East Zone Dump,19.185529,72.962895,191171.53,2021
Nagpur,Construction,16.84,79.63,12665.38,7,Incineration,2520.82,7,South City Dump,22.842686,72.984845,210520.49,2021
Surat,E-Waste,3.97,27.37,18957.61,1,Composting,5450.8,3,South City Dump,22.719974,72.698059,345538.85,2022
Chennai,Construction,3.01,69.43,4010.6,6,Recycling,2069.16,4,West Side Facility,13.237641,80.053997,10119.04,2021
Lucknow,Construction,11.16,92.12,4046.47,10,Recycling,1542.15,11,Central Landfill,23.313103,72.204943,162182.74,2020
Mumbai,E-Waste,16.33,59.03,15777.43,6,Composting,3257.29,5,South City Dump,19.248201,72.574459,448869.93,2021
Kolkata,Organic,1.0,24.34,3534.36,3,Recycling,1899.5,3,West Side Facility,22.553542,88.240212,187962.67,2022
Ahmedabad,Construction,1.0,44.31,2254.45,3,Incineration,3320.6,2,South City Dump,22.578901,72.939697,154410.27,2021
Bhopal,Construction,2.35,53.28,1043.49,5,Recycling,2634.5,2,North Point Landfill,22.657683,72.766596,68922.98,2021
Hyderabad,Organic,1.0,56.63,6537.62,6,Composting,1997.16,4,Metro Waste Site,17.190413,78.144361,95265.12,2020
Patna,Plastic,34.88,34.46,19258.22,5,Landfill,1917.53,7,South City Dump,22.69076,72.653051,487970.76,2019
Delhi,Plastic,11.17,24.23,19275.01,6,Recycling,1757.17,3,North Point Landfill,28.209414,76.93057,333589.55,2020
Bangalore,Organic,23.43,43.17,18529.93,6,Recycling,1830.57,7,Central Landfill,12.652263,77.224626,170550.93,2023
Thane,E-Waste,11.03,73.25,6044.22,10,Composting,1661.06,13,Central Landfill,19.391488,72.872454,75542.74,2022
Mumbai,Plastic,48.12,17.79,22256.85,4,Composting,1775.95,1,South City Dump,19.55202,73.251256,171395.25,2019
Mumbai,Hazardous,22.17,61.82,15107.09,10,Incineration,2457.94,10,Metro Waste Site,19.406193,73.333833,352153.57,2023
Jaipur,Plastic,7.79,43.73,5986.5,7,Composting,1496.88,13,South City Dump,22.581723,72.176797,100479.11,2020
Chennai,Plastic,10.13,70.06,9186.26,9,Recycling,1565.38,14,South City Dump,13.050559,80.417321,416716.01,2020
Pune,Hazardous,5.09,48.93,2182.57,9,Incineration,3304.43,12,South City Dump,18.638857,72.853759,347729.57,2021
Surat,Construction,15.66,31.43,15585.04,2,Incineration,2850.38,1,Central Landfill,23.185406,72.923939,136390.36,2022
Thane,Hazardous,24.13,48.79,12796.34,9,Recycling,3164.3,9,East Zone Dump,19.408499,73.228478,217725.96,2021
Bangalore,Plastic,7.01,55.45,2595.36,6,Composting,1699.73,8,Central Landfill,13.169572,77.096179,437038.53,2022
Nagpur,Hazardous,5.95,28.13,1729.11,6,Landfill,4021.33,3,North Point Landfill,22.729337,72.725423,213946.35,2019
Hyderabad,Plastic,10.45,20.4,5311.82,1,Composting,2636.47,1,North Point Landfill,17.527833,78.36868,478839.19,2021
Chennai,Hazardous,22.72,60.04,8919.4,7,Recycling,4154.15,6,Central Landfill,12.63845,79.823106,454829.77,2020
Bhopal,E-Waste,20.87,74.34,18310.19,10,Landfill,1500.59,9,Central Landfill,22.558082,72.208135,384378.04,2021
Patna,Hazardous,1.0,57.34,1432.91,10,Landfill,2166.55,16,Metro Waste Site,23.500493,73.065688,282252.41,2020
Lucknow,Plastic,19.82,72.39,5083.43,9,Recycling,1575.19,9,East Zone Dump,22.936468,72.554792,139118.51,2022
Bangalore,E-Waste,17.2,35.9,9555.44,3,Recycling,4412.63,4,East Zone Dump,13.440239,77.189508,201107.87,2023
Nagpur,Hazardous,9.96,30.66,10758.54,5,Composting,5314.52,8,West Side Facility,22.61819,72.985984,54607.79,2020
Bangalore,Hazardous,12.02,19.15,16557.02,5,Incineration,5260.1,7,Metro Waste Site,12.550786,77.582423,164144.96,2019
Chennai,Construction,1.32,74.84,5850.0,9,Landfill,1621.35,7,East Zone Dump,13.053024,80.644275,383771.54,2021
Nagpur,E-Waste,21.1,36.7,13313.85,3,Incineration,4261.36,4,Central Landfill,23.177883,72.489763,359935.04,2022
Bhopal,Organic,50.93,59.46,21669.57,10,Composting,635.29,9,West Side Facility,22.946041,72.643037,452409.56,2022
Hyderabad,Hazardous,20.07,40.59,10467.63,6,Composting,4502.64,4,Metro Waste Site,17.571756,78.66092,118531.84,2019
Jaipur,Organic,2.14,45.29,1835.18,3,Landfill,2750.45,2,Metro Waste Site,23.058692,72.520548,225659.18,2019
Surat,Organic,4.48,51.56,3187.3,10,Recycling,863.08,11,North Point Landfill,22.971412,72.608569,109732.41,2022
Lucknow,E-Waste,3.12,31.76,4738.04,2,Landfill,5277.61,1,Central Landfill,22.774723,72.88213,474113.6,2019
Jaipur,Construction,14.79,40.68,4262.39,4,Incineration,2472.72,7,West Side Facility,23.209074,72.487992,327778.24,2019
Kolkata,Plastic,15.95,37.15,8426.38,7,Composting,1603.58,10,East Zone Dump,22.816649,88.367119,43220.23,2022
Patna,Hazardous,21.59,21.32,18365.94,2,Composting,6713.3,1,South City Dump,22.55412,72.329901,451326.38,2019
Mumbai,Plastic,31.23,47.41,20767.82,8,Landfill,1199.89,6,West Side Facility,18.961859,73.359777,201635.2,2023
Lucknow,Construction,11.11,61.75,2919.58,8,Incineration,1586.17,9,Central Landfill,23.299796,72.903495,187020.53,2022
Nagpur,Plastic,5.86,23.5,6120.71,6,Recycling,1882.8,6,Metro Waste Site,22.777221,72.334646,282555.83,2023
Visakhapatnam,Organic,27.14,47.45,10873.86,7,Composting,1426.43,7,Metro Waste Site,22.639545,72.256326,65657.79,2020
Kolkata,E-Waste,4.31,35.24,9196.63,1,Incineration,5040.09,1,West Side Facility,22.836924,88.356574,176107.05,2022
Kolkata,Plastic,4.75,59.19,4525.81,6,Composting,1662.04,2,East Zone Dump,22.474552,88.709645,179670.36,2021
Indore,E-Waste,28.09,25.2,16710.91,4,Landfill,3849.66,4,North Point Landfill,22.9332,72.791816,260652.74,2021
Surat,Organic,26.29,54.25,23645.57,7,Composting,1792.12,3,Metro Waste Site,22.605167,72.19757,100851.79,2023
Pune,Construction,19.86,69.19,13288.44,9,Recycling,1596.82,11,Central Landfill,19.267847,73.015092,361013.7,2021
Mumbai,Construction,3.16,39.48,6382.2,2,Composting,2933.79,1,West Side Facility,19.018914,72.411876,166629.51,2021
Thane,E-Waste,9.9,65.59,20450.39,10,Recycling,1679.26,8,North Point Landfill,19.078843,72.429582,471694.52,2021
Lucknow,Hazardous,3.99,48.15,13653.42,9,Recycling,2968.61,7,Metro Waste Site,23.327515,72.090923,417037.91,2022
Lucknow,Organic,9.38,30.46,4458.5,1,Incineration,3133.04,0,North Point Landfill,22.630789,72.492277,366281.18,2021
Bhopal,Hazardous,6.53,23.86,3575.23,6,Incineration,4220.29,10,East Zone Dump,23.346594,72.076724,286761.39,2022
Surat,Construction,1.0,49.3,9140.88,4,Landfill,2675.58,7,West Side Facility,23.07199,72.749819,307777.46,2023
Pune,Hazardous,10.71,37.86,10455.47,4,Recycling,5817.67,5,South City Dump,18.94952,73.079647,419503.58,2023
Mumbai,Construction,20.3,46.59,17517.6,5,Recycling,2037.58,6,Metro Waste Site,19.30091,72.813748,318716.94,2022
Jaipur,Plastic,9.05,14.95,9173.82,1,Composting,2661.04,2,North Point Landfill,23.436958,72.161514,387535.91,2020
Jaipur,Organic,26.69,29.17,15803.61,3,Recycling,2452.57,2,West Side Facility,23.519491,72.496956,180633.01,2022
Nagpur,Plastic,14.53,15.99,18045.04,6,Composting,1937.79,8,North Point Landfill,23.012328,72.588833,221854.44,2023
Nagpur,Hazardous,40.06,43.61,24800.79,8,Composting,3677.7,10,South City Dump,23.027528,72.101897,74587.08,2023
Delhi,E-Waste,15.21,54.0,22278.15,5,Landfill,3836.53,7,Metro Waste Site,28.937722,77.227527,428468.0,2019
Ahmedabad,E-Waste,25.02,36.39,20259.04,3,Landfill,4357.21,2,East Zone Dump,23.459066,72.449596,292438.72,2023
Nagpur,E-Waste,23.23,37.44,20008.08,3,Landfill,4260.14,3,North Point Landfill,23.226853,72.874166,127063.3,2019
Chennai,E-Waste,13.25,65.02,2003.72,8,Recycling,2655.05,12,East Zone Dump,13.200054,80.175611,107202.54,2022
Kanpur,Construction,17.67,44.85,24079.37,2,Recycling,2573.44,0,North Point Landfill,23.356635,72.855906,100823.45,2021
Mumbai,Construction,19.9,58.25,16223.9,4,Incineration,3351.79,8,Central Landfill,18.846963,72.663327,142745.52,2022
Bangalore,Plastic,25.0,18.59,21529.8,1,Recycling,2611.29,1,Metro Waste Site,12.900923,77.502485,65833.18,2021
Jaipur,E-Waste,19.91,43.47,17227.4,2,Recycling,4659.67,2,North Point Landfill,22.675543,72.576986,212469.66,2023
Bhopal,E-Waste,36.95,58.01,22044.22,4,Landfill,3963.56,5,North Point Landfill,22.545959,72.400817,273065.43,2022
Thane,E-Waste,41.19,78.51,22859.08,8,Incineration,2778.52,6,Central Landfill,19.333463,72.601228,37279.68,2019
Chennai,Plastic,7.86,62.24,20140.42,8,Landfill,1388.26,10,West Side Facility,13.216235,80.019236,159036.07,2020
Ahmedabad,Hazardous,27.46,15.85,19499.55,3,Recycling,5436.38,5,East Zone Dump,22.742119,72.748867,381620.23,2021
Patna,Construction,7.35,53.85,6397.74,5,Recycling,2860.84,14,North Point Landfill,22.967305,72.739889,318661.05,2022
Hyderabad,Organic,1.38,28.71,1428.01,3,Composting,2405.41,2,Metro Waste Site,17.616776,78.151434,182164.41,2022
Mumbai,Hazardous,17.6,37.22,7356.79,6,Composting,4747.99,9,East Zone Dump,19.553369,73.221287,97342.57,2023
Indore,Construction,22.46,41.21,22710.53,1,Recycling,3702.66,0,Central Landfill,22.98347,72.745401,275338.08,2020
Surat,Plastic,23.11,56.3,21242.27,8,Landfill,1477.53,10,South City Dump,23.257523,72.260021,65602.08,2023
Hyderabad,E-Waste,11.39,33.28,14120.31,5,Recycling,3770.25,3,West Side Facility,17.758634,78.062254,130877.33,2022
Chennai,E-Waste,13.32,31.82,17687.65,2,Composting,5128.83,0,Metro Waste Site,13.46181,80.583457,335752.02,2023
Lucknow,Hazardous,13.73,36.56,9139.14,5,Composting,4994.02,3,North Point Landfill,23.082393,72.372319,91895.81,2023
Chennai,E-Waste,12.79,13.15,10772.17,1,Composting,5049.04,2,West Side Facility,13.050502,79.841572,303109.4,2023
Hyderabad,E-Waste,5.27,71.07,7345.7,6,Landfill,3532.96,6,South City Dump,17.461081,78.683138,90667.35,2020
Lucknow,Plastic,13.28,34.83,4568.14,6,Incineration,1102.31,5,East Zone Dump,23.148745,72.217773,102575.61,2019
Hyderabad,E-Waste,24.99,76.83,21626.43,10,Recycling,1771.4,10,Metro Waste Site,17.350035,78.676596,443158.91,2023
Nagpur,Construction,16.95,57.1,5967.67,6,Recycling,2286.48,4,South City Dump,23.275482,72.177768,50351.08,2023
Nagpur,Construction,1.0,22.65,1064.83,4,Composting,2542.24,5,East Zone Dump,23.039164,72.807417,282853.76,2023
Hyderabad,Hazardous,42.35,21.54,23296.5,5,Composting,5039.32,5,East Zone Dump,17.527309,78.262786,116549.34,2021
Kolkata,Organic,8.02,40.88,7100.27,7,Composting,1999.97,4,West Side Facility,22.676716,88.534603,305237.69,2023
Delhi,E-Waste,1.0,30.18,2711.75,3,Composting,4451.72,0,Central Landfill,28.598088,77.018892,230944.6,2020
Pune,Construction,20.99,62.06,20845.69,3,Composting,3123.56,3,South City Dump,19.266701,72.911728,195788.82,2022
Bhopal,Construction,5.72,26.1,9166.6,1,Composting,3607.37,1,Metro Waste Site,22.728945,72.758772,182693.61,2022
Hyderabad,Plastic,7.37,5.0,18112.4,1,Landfill,2722.23,0,South City Dump,17.395739,78.441715,385912.39,2020
Jaipur,Plastic,5.95,14.17,16835.26,2,Recycling,2405.65,2,West Side Facility,22.764406,72.469902,19394.73,2023
Jaipur,Organic,17.0,57.55,19539.95,6,Composting,1363.86,10,North Point Landfill,22.964656,72.142903,200932.14,2023
Visakhapatnam,Plastic,25.1,20.16,18798.47,3,Landfill,2278.09,6,South City Dump,23.323309,72.989658,305471.88,2021
Patna,E-Waste,14.69,32.08,20273.35,3,Landfill,4771.52,3,South City Dump,22.80983,72.233296,132154.72,2022
Patna,Organic,6.64,39.43,6397.28,5,Landfill,2082.45,5,North Point Landfill,22.934494,72.650317,202422.57,2020
Jaipur,Plastic,17.51,38.08,14865.66,6,Incineration,1981.11,4,North Point Landfill,22.835525,72.891268,281431.45,2021
Bangalore,Construction,13.76,37.62,11813.98,2,Recycling,3151.36,2,Central Landfill,13.371835,77.617582,66108.04,2020
Kanpur,Hazardous,18.81,14.73,10620.29,1,Composting,7159.6,3,Metro Waste Site,22.740404,72.71907,216659.94,2020
Kolkata,Organic,5.66,17.06,4523.24,2,Landfill,2440.21,4,East Zone Dump,22.210876,88.830078,412305.65,2023
Kanpur,Hazardous,1.0,35.92,5907.6,6,Recycling,4766.56,10,West Side Facility,22.87166,72.74172,324789.02,2021
Jaipur,E-Waste,31.9,48.19,23344.46,5,Incineration,4028.29,3,South City Dump,23.16253,73.01066,10946.64,2023
Chennai,Organic,34.15,57.18,18418.51,7,Landfill,1764.83,9,North Point Landfill,12.975486,80.466341,469564.62,2021
Kolkata,Organic,17.56,40.41,14016.61,4,Recycling,2157.66,2,East Zone Dump,22.784629,88.732851,467677.88,2021
Ahmedabad,Construction,13.64,42.41,8858.57,3,Recycling,3312.51,5,North Point Landfill,23.350774,72.323253,390878.05,2023
Surat,Construction,48.91,41.16,23970.57,7,Composting,2084.07,10,North Point Landfill,22.771674,72.790208,305779.73,2019
Bangalore,Construction,10.56,58.15,22994.13,4,Incineration,2962.76,4,South City Dump,13.319572,77.462258,299636.74,2021
Thane,Construction,25.78,71.31,13090.56,7,Landfill,2230.38,10,West Side Facility,19.219749,72.712792,26906.9,2019
Thane,E-Waste,5.93,68.55,7915.0,10,Composting,2226.11,10,Central Landfill,19.141752,72.743151,468711.7,2020
Indore,Organic,1.0,51.07,2317.72,10,Incineration,1080.53,11,North Point Landfill,23.38471,72.814131,213011.07,2021
Jaipur,E-Waste,24.83,52.9,12365.67,5,Recycling,3940.65,2,South City Dump,23.276731,72.54294,83420.69,2023
Bhopal,E-Waste,16.99,36.92,7335.06,1,Landfill,4479.35,0,Metro Waste Site,23.044375,72.708342,124809.5,2019
Chennai,Construction,26.52,36.84,14894.49,2,Landfill,3615.22,2,Central Landfill,12.59488,80.432038,151782.68,2020
Thane,Construction,6.83,83.5,7084.02,5,Composting,2274.02,11,Central Landfill,19.433485,72.377885,187591.39,2020
Kolkata,E-Waste,9.52,29.19,18702.47,2,Incineration,4653.33,1,East Zone Dump,22.902777,88.814512,320783.8,2019
Kanpur,E-Waste,10.78,42.57,9493.74,4,Incineration,4115.09,4,Central Landfill,23.105936,73.01927,247685.27,2020
Delhi,Construction,33.94,28.59,22746.62,1,Incineration,3340.11,1,Metro Waste Site,29.069801,76.63461,325495.28,2020
Indore,Plastic,32.74,59.24,19310.77,9,Landfill,1362.66,2,Metro Waste Site,22.762627,72.172207,137503.57,2019
Pune,Construction,9.17,60.93,5249.04,8,Recycling,1503.33,12,Central Landfill,19.569226,72.389272,156800.4,2023
Ahmedabad,Hazardous,21.61,46.62,15955.88,8,Composting,3586.81,11,Metro Waste Site,23.131035,72.774191,231856.38,2019
Mumbai,E-Waste,16.01,49.12,6838.55,4,Composting,4112.71,3,Central Landfill,19.018154,72.434541,489462.29,2020
Bhopal,Plastic,21.22,57.13,15122.41,9,Composting,1636.13,3,East Zone Dump,23.172751,72.383888,180534.77,2019
Chennai,Plastic,21.61,33.78,12683.37,4,Incineration,2255.04,3,West Side Facility,13.094602,80.090318,92134.57,2021
Kolkata,Construction,7.0,24.52,7309.14,3,Recycling,3327.8,4,East Zone Dump,23.062974,88.546918,325326.84,2019
Visakhapatnam,Hazardous,1.0,38.69,1365.11,8,Recycling,3191.7,9,Central Landfill,22.593655,72.965507,445213.08,2022
Kanpur,Organic,22.57,36.92,21513.91,4,Recycling,1915.84,2,Metro Waste Site,22.751617,72.30319,451685.97,2022
Thane,Organic,34.44,47.38,21014.0,4,Landfill,2213.62,4,Central Landfill,18.803491,72.853321,217954.18,2020
Chennai,Hazardous,32.61,5.0,21648.88,2,Composting,5894.92,2,Metro Waste Site,13.473755,80.103786,82286.68,2021
Indore,E-Waste,1.0,67.85,3317.21,9,Recycling,2081.87,9,East Zone Dump,22.727683,72.859952,91925.97,2021
Bangalore,Organic,3.97,53.13,1682.98,5,Incineration,2091.65,7,South City Dump,12.709888,77.969722,435302.58,2019
Jaipur,Organic,22.2,28.46,16143.29,2,Recycling,1978.29,5,South City Dump,23.353917,72.345972,277588.42,2022
Jaipur,Plastic,10.52,35.65,6136.17,4,Composting,2033.19,6,East Zone Dump,23.18877,72.307044,448316.39,2022
Chennai,Organic,9.16,64.34,5422.36,7,Landfill,1588.93,6,North Point Landfill,13.504931,80.250937,315633.7,2023
Mumbai,E-Waste,32.66,28.71,20924.39,1,Recycling,5067.04,3,West Side Facility,18.740031,73.333218,337210.84,2022
Indore,E-Waste,1.0,65.18,2424.12,6,Recycling,3309.3,5,South City Dump,22.600132,72.784862,11753.0,2022
Bangalore,Plastic,9.77,64.28,2117.0,10,Landfill,954.58,9,South City Dump,12.551937,77.884766,217151.8,2019
Surat,Organic,31.01,30.64,20212.36,1,Landfill,3045.37,0,Central Landfill,22.856115,72.109338,82010.6,2022
Visakhapatnam,E-Waste,30.88,61.33,23009.88,6,Composting,3056.22,6,Metro Waste Site,23.014582,72.602761,108612.68,2022
Nagpur,Plastic,14.49,42.75,7832.19,8,Recycling,1225.86,8,Metro Waste Site,23.330578,72.195905,485594.03,2021
Bangalore,E-Waste,22.14,42.76,14318.36,3,Recycling,4595.0,2,Central Landfill,13.296815,77.237322,161675.58,2020
Patna,E-Waste,37.31,62.96,14658.57,7,Landfill,3541.94,5,North Point Landfill,23.495477,72.224513,141942.51,2021
Indore,Organic,12.01,37.86,15174.15,2,Recycling,2625.57,0,Central Landfill,22.817761,72.264943,281381.74,2019
Indore,Plastic,4.88,48.73,10187.03,7,Landfill,1104.33,7,North Point Landfill,23.164275,72.543337,454866.39,2021
Hyderabad,Plastic,15.36,53.64,9716.54,8,Recycling,1311.18,8,Central Landfill,16.886022,78.586882,149189.63,2019
Hyderabad,Construction,29.93,75.25,22133.16,10,Incineration,1306.0,10,West Side Facility,17.859031,78.898154,89239.26,2020
Kanpur,Organic,8.26,82.81,9853.18,8,Incineration,1660.46,7,Metro Waste Site,22.877937,72.322913,350389.15,2019
Mumbai,E-Waste,12.03,49.52,19467.65,5,Incineration,3440.36,5,North Point Landfill,18.613254,72.404047,372171.09,2023
Bangalore,E-Waste,7.96,81.53,8632.23,9,Landfill,2193.42,11,Metro Waste Site,13.150503,77.96816,221812.93,2022
Thane,Hazardous,28.36,15.11,10906.31,2,Landfill,6526.65,2,West Side Facility,19.371707,72.713487,11555.41,2022
Hyderabad,E-Waste,26.54,63.16,24029.74,7,Incineration,3085.42,10,East Zone Dump,17.634987,78.49659,61363.09,2019
Chennai,Organic,18.56,30.2,21598.99,2,Landfill,2645.04,3,Metro Waste Site,13.488652,80.671663,488476.56,2019
Mumbai,Organic,42.86,46.03,22644.12,6,Composting,1878.05,6,Central Landfill,19.352768,73.003547,210480.46,2021
Nagpur,Organic,1.0,45.89,7096.51,6,Landfill,1828.36,7,East Zone Dump,22.828845,72.737593,446519.91,2023
Indore,Organic,4.03,67.09,7153.73,9,Recycling,1206.17,11,West Side Facility,23.047188,72.626483,373804.21,2022
Lucknow,E-Waste,11.89,60.66,6277.19,5,Incineration,3885.36,4,Central Landfill,22.813292,72.758902,240441.35,2019
Visakhapatnam,Plastic,16.98,40.89,12011.37,5,Recycling,1906.07,5,East Zone Dump,23.355028,72.786211,367819.64,2023
Delhi,Construction,18.62,72.35,13299.39,9,Composting,1061.62,9,Central Landfill,28.556977,76.745561,463070.5,2021
Jaipur,E-Waste,2.84,20.97,3496.3,2,Composting,4902.31,1,Central Landfill,23.477599,72.264415,442543.62,2019
Kanpur,Organic,26.78,47.9,20427.36,7,Incineration,1656.42,9,West Side Facility,22.807633,72.266823,15465.75,2023
Ahmedabad,Construction,1.51,82.88,6815.82,10,Composting,1502.73,9,West Side Facility,22.978236,72.248441,320660.38,2020
Patna,Organic,15.46,44.48,9739.67,5,Landfill,2450.65,4,East Zone Dump,23.274623,72.150529,331671.04,2022
Mumbai,Organic,1.0,59.87,1442.97,7,Incineration,1313.45,5,South City Dump,19.074634,72.42276,101156.69,2019
Lucknow,Plastic,39.92,54.39,23428.89,9,Composting,666.04,7,Metro Waste Site,22.823458,72.820318,399139.73,2021
Chennai,Organic,12.67,42.03,5859.22,2,Recycling,2888.45,0,South City Dump,12.802691,79.779515,360902.54,2022
Bhopal,Plastic,8.18,54.22,9266.52,9,Incineration,900.57,8,East Zone Dump,22.813773,72.443801,390431.77,2019
